Date,Weight,Height,Average Stress Level,Average Resting Heart Rate,Intensity Minutes,Floors Climbed,Steps,Average Temperature in Cracow,Average Air Pressure in Cracow,Calories
Sep 24,84.4,190,20,39,0,9,8484,14.18,997.18,2481
Sep 25,84.4,190,25,40,4,4,8905,16.56,999.71,2660
Sep 26,84.4,190,38,39,0,7,9607,19.76,998.15,2906
Sep 27,84.4,190,24,40,0,7,10329,19.54,997.28,2631
Sep 28,84.4,190,23,38,0,11,10203,18.69,995.08,2707
Sep 29,84.4,190,35,38,0,26,14203,18.32,994.73,2958
Sep 30,84.4,190,27,38,7,18,15339,13.97,994.88,2988
Oct 1,84.4,190,70,43,0,3,9018,12.2,997.73,2758
Oct 2,84.4,190,30,39,0,7,8123,15.41,996.99,2788
Oct 3,84.4,190,31,38,0,4,11090,18.34,990.77,2898
Oct 4,84.4,190,26,38,0,0,10840,14.6,997.43,2764
Oct 5,84.4,190,29,40,0,11,6569,12.99,996.29,2570
