Date,Weight,Height,Average Stress Level,Average Resting Heart Rate,Intensity Minutes,Floors Climbed,Steps,Average Temperature in Cracow,Average Air Pressure in Cracow,Calories
Cze 15,85.4,180,48,75,81,3,9292,16.71,989.72,2796
Cze 16,85.4,180,-1,,0,0,0,18.17,987.18,2231
Cze 17,85.4,180,-1,,0,0,0,18.48,985.81,2231
Cze 18,85.4,180,67,76,4,4,6534,18.82,988.09,2633
Cze 19,85.4,180,57,80,0,3,6970,21.04,989.33,2460
Cze 20,85.4,180,-1,,0,0,0,23.94,989.69,2231
Cze 21,85.4,180,-1,,0,0,0,24.97,989.9,2231
Cze 22,85.4,180,-1,,0,0,0,24.84,991.53,2231
Cze 23,85.4,180,-1,,0,0,0,22.35,987.74,2231
Cze 24,85.4,180,-1,,0,0,0,17.61,992.96,2231
Cze 25,85.4,180,27,128,153,3,207,19.6,991.58,3179
Cze 26,85.4,180,73,118,149,0,283,21.73,988.31,3130
Cze 27,85.4,180,-1,,0,0,0,18.31,986.26,2231
Cze 28,85.4,180,-1,,0,3,1410,15.46,987.22,2278
Cze 29,85.4,180,51,70,120,12,11495,19.02,988.2,3600
Cze 30,85.4,180,55,80,0,7,4594,22.19,984.33,2391
Lip 1,85.4,180,67,84,3,14,4649,20.22,981.08,4517
Lip 2,85.4,180,-1,,0,0,0,20.38,980.88,2231
Lip 3,85.4,180,-1,,0,0,0,21.63,985.44,2231
Lip 4,85.4,180,31,63,85,6,8656,22.84,987.53,3022
Lip 5,85.4,180,-1,,0,0,0,22.61,987.69,2231
Lip 6,85.4,180,29,61,68,3,8960,19.02,991.15,2873
Lip 7,85.4,180,18,62,0,3,2322,20.16,995.08,2306
Lip 8,85.4,180,19,62,0,0,142,21.7,995,2232
Lip 9,85.4,180,43,70,74,6,1822,23.59,993.66,2772
Lip 10,85.4,180,56,68,0,3,4800,23.27,992.08,2385
Lip 11,85.4,180,-1,68,174,1,242,23.07,989.92,3316
Lip 12,85.4,180,-1,,0,0,0,22.96,985.87,2231
