Date,Weight,Height,Average Stress Level,Average Resting Heart Rate,Intensity Minutes,Floors Climbed,Steps,Average Temperature in Cracow,Average Air Pressure in Cracow,Calories
Sie 11,78,178,36,54,18,13,9993,18.01,995.82,2795
Sie 12,78,178,38,62,8,10,7805,20.57,994.31,2565
Sie 13,78,178,32,56,0,2,3406,23.02,992.36,2325
Sie 14,78,178,39,56,0,8,16639,26.01,993.13,2679
Sie 15,78,178,34,51,0,11,17759,26,992.73,2653
Sie 16,78,178,59,60,94,20,8384,25.72,992.41,3115
Sie 17,78,178,35,58,0,16,7345,23.38,992.97,2537
Sie 18,78,178,29,56,0,3,6787,23.26,991.66,2327
Sie 19,78,178,34,55,33,3,5504,24.56,992.25,2969
Sie 20,78,178,-1,,0,0,0,25.44,993.51,2010
Sie 21,78,178,38,54,0,6,4034,24.83,994.45,2231
Sie 22,78,178,41,50,8,6,6183,25.4,992.51,2468
Sie 23,78,178,43,59,0,5,9964,23.28,990.83,2571
Sie 24,78,178,49,65,15,15,7908,22.13,991.06,2750
Sie 25,78,178,41,55,130,11,10381,23.83,986.13,3590
Sie 26,78,178,34,56,10,12,11020,22.44,985.66,2903
Sie 27,78,178,20,61,0,1,728,22.17,982.55,2078
Sie 28,78,178,37,57,4,17,6716,19.16,982.44,2373
Sie 29,78,178,28,51,0,14,8232,21.45,978.16,2392
Sie 30,78,178,42,50,0,21,7943,17.91,978.92,2542
Sie 31,78,178,34,57,2,10,7190,17.13,984.46,2485
Wrz 1,78,178,35,58,8,27,19505,17.32,990.11,2971
Wrz 2,78,178,35,55,0,2,2820,18.26,993.15,2270
Wrz 3,78,178,27,57,0,5,2596,17.26,995.8,2218
Wrz 4,78,178,22,52,0,2,2807,16.91,999.88,2166
Wrz 5,78,178,31,50,0,11,6195,17.34,999.5,2352
Wrz 6,78,178,42,51,120,13,12647,18.05,997.8,3447
Wrz 7,78,178,55,58,14,8,9974,18.95,998.58,3043
