Date,Weight,Height,Average Stress Level,Average Resting Heart Rate,Intensity Minutes,Floors Climbed,Steps,Average Temperature in Cracow,Average Air Pressure in Cracow,Calories
Oct 6,84.4,190,26,40,0,7,10810,13.52,997.55,2711
Oct 7,84.4,190,22,41,0,8,7634,16.69,989,2567
Oct 8,84.4,190,24,39,0,9,7389,10.64,992.9,2554
Oct 9,84.4,190,31,40,8,9,13004,5.85,993.79,2957
Oct 10,84.4,190,26,41,0,4,9523,9.65,993.72,2869
Oct 11,84.4,190,29,39,11,2,11457,15.48,991.04,3164
Oct 12,84.4,190,35,39,9,4,12773,17.95,988.37,3129
Oct 13,81.4,190,35,44,0,3,10662,17.14,989.21,3163
Oct 14,81.4,190,9,39,0,0,1608,17.15,982.25,2418
Oct 15,81.4,190,31,44,0,3,3967,9.91,987.29,2469
Oct 16,81.4,190,35,41,4,9,11168,7.1,992.7,2834
Oct 17,81.4,190,27,41,0,4,8376,6.96,994.46,2745
Oct 18,81.4,190,36,39,10,4,8878,5.88,989.45,2809
Oct 19,81.4,190,38,42,11,9,11033,7.18,976.54,2781
Oct 20,81.4,190,30,45,0,7,7341,14.08,966.53,2555
Oct 21,81.4,190,31,40,3,14,11516,17.31,973.86,2695
Oct 22,81.4,190,27,42,0,3,3457,13.85,980.39,2402
Oct 23,81.4,190,53,46,13,5,15458,11.4,989.09,3119
Oct 24,81.4,190,36,41,4,2,9489,10.61,982.34,3016
Oct 25,81.4,190,33,41,0,5,8534,11.83,973.76,2874
Oct 26,81.4,190,45,42,12,2,8640,10.71,970.87,3209
Oct 27,81.4,190,34,45,0,5,5434,10.72,966.99,2571
Oct 28,81.4,190,19,40,0,0,3582,11.79,976.21,2363
Oct 29,81.4,190,27,37,0,12,7533,12.75,981.32,2512
Oct 30,81.4,190,29,42,0,20,11147,12.42,981.05,2657
Oct 31,81.4,190,21,39,0,14,8494,14.92,975.52,2529
Nov 1,81.4,190,29,41,0,3,2638,10.8,983.36,2365
Nov 2,81.4,190,24,39,0,13,8404,11,974.44,2566
