Date,Weight,Height,Average Stress Level,Average Resting Heart Rate,Intensity Minutes,Floors Climbed,Steps,Average Temperature in Cracow,Average Air Pressure in Cracow,Calories
Gru 1,78,178,45,58,44,17,11523,0.15,976.8,3038
Gru 2,78,178,46,56,79,10,9879,-1.97,976.26,3661
Gru 3,78,178,23,59,6,7,3035,-2.9,990.87,2263
Gru 4,78,178,26,52,6,10,6578,-2.79,994.19,2301
Gru 5,78,178,37,56,5,12,3936,-3.2,987.08,2245
Gru 6,78,178,34,55,10,22,7804,-3.9,987.92,2463
Gru 7,78,178,38,54,35,13,13133,-1.29,991.64,3133
Gru 8,78,178,32,59,18,11,7895,-1.05,991.65,2542
Gru 9,78,178,30,56,8,6,3889,-1.42,988.72,2369
Gru 10,78,178,25,54,51,11,5535,0.19,982.65,2405
Gru 11,78,178,34,58,2,12,4945,5.22,978.01,2272
Gru 12,78,178,32,52,4,22,6734,5.84,980.8,2402
Gru 13,78,178,41,53,4,13,11305,3.44,975.31,2811
Gru 14,78,178,39,54,0,17,5400,3.85,983.27,2364
Gru 15,78,178,34,58,0,14,5383,1.55,1002.14,2428
Gru 16,78,178,27,54,0,9,6639,3.93,1008.37,2284
Gru 17,78,178,38,58,41,9,4706,5.89,1005.45,2727
Gru 18,78,178,35,57,23,14,9748,8.22,1000.76,2771
Gru 19,78,178,36,54,2,13,12930,8.67,991.58,2642
Gru 20,78,178,39,59,15,14,5725,5.64,982.24,2518
Gru 21,78,178,41,56,0,19,5609,5.14,969.95,2362
Gru 22,78,178,39,54,11,10,5932,3.4,961.3,2519
Gru 23,78,178,35,57,10,5,2459,1.12,969.32,2234
Gru 24,78,178,41,57,57,8,7748,3.48,976.38,2821
Gru 25,78,178,38,62,0,8,3441,10.61,976.82,2260
Gru 26,78,178,34,60,9,14,3968,10,982.69,2292
Gru 27,78,178,38,56,2,20,7059,4.65,994,2362
